country,continent,gni_per_capita_recent,fem_life_expec_recent,male_life_expec_recent,overall_life_expec_recent,total_population_recent,female_population_recent,male_population_recent
"Korea, Rep.",Asia,30600,85.7,79.7,82.62682927,51635256,25774710,25860546
Kosovo,Europe,4220,74.2,69.8,71.94634146,1845300,894970.5,950329.5
Kuwait,Asia,34290,76.364,74.584,75.311,4137309,1636230,2501079
Kyrgyz Republic,Asia,1220,75.4,67.2,71.2,6315800,3191049,3124751
Lao PDR,Asia,2450,69.074,65.508,67.277,7061507,3515879,3545628
Latvia,Europe,16510,79.7,69.9,74.6804878,1926542,1040529,886013
Lebanon,Asia,7920,80.786,77.031,78.833,6848925,3404313,3444612
Lesotho,Africa,1390,56.194,49.837,52.947,2108132,1069179,1038953
Liberia,Africa,610,64.68,61.911,63.295,4818977,2398322,2420655
Libya,Africa,6400,75.619,69.672,72.52,6678567,3304808,3373759
Lithuania,Europe,17430,80.1,69.5,74.67073171,2789533,1500544,1288989
Luxembourg,Europe,70870,85.4,80.1,82.68536585,607728,301064,306664
"Macao SAR, China",Asia,79110,86.92,81.013,83.989,631636,328314,303322
Madagascar,Africa,510,67.909,64.728,66.311,26262368,13163741,13098627
Malawi,Africa,360,66.4,60.155,63.279,18143315,9198936,8944379
Malaysia,Asia,10590,78.008,73.903,75.828,31528585,15316120,16212465
Maldives,Asia,9280,80.191,76.931,78.325,515696,192174,323522
Mali,Africa,840,59.185,57.718,58.452,19077690,9527589,9550101
Malta,Europe,26480,84.4,80.6,82.45365854,483530,241152,242378
Marshall Islands,Oceania,4860,76,71.4,73.6,58413,28447.131,29965.869
Mauritania,Africa,1160,66.061,62.831,64.464,4403319,2193850,2209469
Mauritius,Africa,12050,77.89,71.3,74.51463415,1265303,639954,625349
Mexico,Americas,9180,77.827,72.046,74.947,126190788,64469966,61720822
"Micronesia, Fed. Sts.",Oceania,3400,69.308,65.986,67.618,112640,55368,57272
Moldova,Europe,2980,75.993,67.439,71.717,3545883,1845120,1700763
Mongolia,Asia,3660,73.779,65.465,69.509,3170208,1606330,1563878
Montenegro,Europe,8430,79.105,74.205,76.667,622345,314651,307694
Morocco,Africa,3090,77.438,74.948,76.218,36029138,18160072,17869066
Mozambique,Africa,460,62.091,56.293,59.309,29495962,15183103,14312859
Myanmar,Asia,1310,69.603,63.419,66.558,53708395,27825190,25883205
Namibia,Africa,5220,65.823,60.02,63.021,2448255,1262166,1186089
Nauru,Oceania,12060,71.2,63.6,67.8,12704,6250.368,6453.632
Nepal,Asia,970,71.586,68.71,70.169,28087871,15317817,12770054
Netherlands,Europe,51260,83.2,80,81.56097561,17231017,8653579,8577438
New Zealand,Oceania,40640,83.4,80,81.65853659,4885500,2483679,2401821
Nicaragua,Americas,2030,77.546,70.551,74.068,6465513,3278837,3186676
Niger,Africa,390,62.776,60.485,61.599,22442948,11170080,11272868
Nigeria,Africa,1960,54.843,53.086,53.95,195874740,96636984,99237756
North Macedonia,Europe,5450,77.639,73.584,75.589,2082958,1040780,1042178
Norway,Europe,80610,84.2,80.9,82.5097561,5314336,2631905,2682431
Oman,Asia,15140,79.906,75.645,77.393,4829483,1642704,3186779
Pakistan,Asia,1590,67.928,66.041,66.947,212215030,103005090,109209940
Palau,Oceania,17280,77,70.4,73.6,17907,8326.755,9580.245
Panama,Americas,14370,81.412,75.06,78.149,4176873,2084484,2092389
Papua New Guinea,Oceania,2570,65.326,62.784,64.01,8606316,4213887,4392429
Paraguay,Americas,5670,76.085,72.041,73.992,6956071,3419021,3537050
Peru,Americas,6470,79.031,73.612,76.286,31989256,16102673,15886583
Philippines,Asia,3830,75.268,66.971,70.952,106651922,53050434,53601488
Poland,Europe,14100,82,73.9,77.85121951,37978548,19570614,18407934
Portugal,Europe,21990,84.3,78.1,81.12439024,10281762,5419718,4862044
Puerto Rico,Americas,21100,83.266,76.176,79.63453659,3195153,1675861,1519292
Qatar,Asia,61150,81.743,78.83,79.981,2781677,681380,2100297
