country,continent,gni_per_capita,overall_life_expec,total_population
Spain,Europe,29340,83.32926829,46723749
Sri Lanka,Asia,4060,76.648,21670000
St. Kitts and Nevis,Americas,18340,76.2,52441
St. Lucia,Americas,9560,75.907,181889
St. Vincent and the Grenadines,Americas,7340,72.3,110210
Sudan,Africa,1560,64.881,41801533
Suriname,Americas,5210,71.463,575991
Sweden,Europe,55490,82.30731707,10183175
Switzerland,Europe,84410,83.60243902,8516543
Tajikistan,Asia,1010,70.647,9100837
Tanzania,Africa,1020,64.479,56318348
Thailand,Asia,6610,76.683,69428524
Timor-Leste,Asia,1820,69.007,1267972
Togo,Africa,660,60.489,7889094
Tonga,Oceania,4300,70.701,103197
Trinidad and Tobago,Americas,15950,73.245,1389858
Tunisia,Africa,3500,76.31,11565204
Turkey,Asia,10420,77.161,82319724
Turkmenistan,Asia,6740,67.956,5850908
Turks and Caicos Islands,Americas,26740,80.1,37665
Tuvalu,Oceania,5430,67.2,11508
Uganda,Africa,620,62.516,42723139
Ukraine,Europe,2660,71.78097561,44622516
United Arab Emirates,Asia,40880,77.647,9630959
United Kingdom,Europe,41770,81.15609756,66488991
United States,Americas,63080,78.53902439,327167434
Uruguay,Americas,15650,77.632,3449299
Uzbekistan,Asia,2020,71.388,32955400
Vanuatu,Oceania,3130,70.172,292680
Vietnam,Asia,2360,75.241,95540395
West Bank and Gaza,Asia,3710,73.74,4569087
Zambia,Africa,1430,63.043,17351822
Zimbabwe,Africa,1790,60.812,14439018
